City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,russell,32.3502,-85.1999,282.75,75,0,0.0,US,1675569096
1,tasiilaq,65.6145,-37.6368,269.24,91,100,12.72,GL,1675569097
2,assiniboia,49.6334,-105.9845,269.05,86,52,4.12,CA,1675569059
3,albany,42.6001,-73.9662,265.75,53,52,2.57,US,1675569012
4,rikitea,-23.1203,-134.9692,298.99,77,27,6.53,PF,1675569020
5,matamoros,25.5333,-103.25,293.21,38,0,1.54,MX,1675569098
6,dudinka,69.4058,86.1778,262.94,95,100,4.2,RU,1675569099
7,san patricio,28.017,-97.5169,288.06,79,1,2.4,US,1675569099
8,soavinandriana,-19.1667,46.7333,289.28,93,100,2.19,MG,1675569100
9,butaritari,3.0707,172.7902,300.4,82,81,8.13,KI,1675569035
10,sitka,57.0531,-135.33,276.09,87,100,5.14,US,1675569101
11,khatanga,71.9667,102.5,232.71,100,52,2.02,RU,1675569102
12,cape town,-33.9258,18.4232,294.75,88,75,5.14,ZA,1675568847
13,ust-nera,64.5667,143.2,243.72,97,100,0.99,RU,1675569102
14,rancho palos verdes,33.7445,-118.387,288.79,84,0,4.47,US,1675569103
15,atuona,-9.8,-139.0333,299.48,73,23,8.22,PF,1675569103
16,sao filipe,14.8961,-24.4956,294.51,63,49,6.02,CV,1675568999
17,hasaki,35.7333,140.8333,284.37,50,23,5.43,JP,1675569029
18,svetlogorsk,52.6333,29.7333,267.35,93,100,5.65,BY,1675569104
19,busselton,-33.65,115.3333,304.17,29,28,4.53,AU,1675569032
20,thinadhoo,0.5333,72.9333,299.59,70,25,4.24,MV,1675569105
21,port alfred,-33.5906,26.891,294.92,77,65,3.91,ZA,1675569014
22,bluff,-46.6,168.3333,288.56,92,100,3.18,NZ,1675569031
23,hobart,-42.8794,147.3294,298.74,46,20,6.17,AU,1675568962
24,terrace,54.5163,-128.6035,277.1,93,100,3.6,CA,1675569107
25,blackwater,-23.5833,148.8833,307.2,41,100,3.99,AU,1675569107
26,new norfolk,-42.7826,147.0587,298.55,42,0,2.68,AU,1675569108
27,cherskiy,68.75,161.3,234.84,100,95,0.71,RU,1675569109
28,norman wells,65.282,-126.8329,247.17,70,75,2.06,CA,1675569109
29,avarua,-21.2078,-159.775,302.18,79,40,7.2,CK,1675569039
30,muros,42.7762,-9.0603,280.98,81,1,5.11,ES,1675569110
31,mogwase,-25.185,27.2665,290.59,87,6,1.64,ZA,1675569110
32,moose factory,51.2585,-80.6094,255.15,85,0,3.6,CA,1675569111
33,zhezkazgan,47.8043,67.7144,268.14,93,100,4.0,KZ,1675569111
34,urucui,-7.2294,-44.5561,296.47,82,11,1.3,BR,1675569112
35,aqtobe,50.2797,57.2072,258.2,78,100,1.0,KZ,1675569112
36,punta arenas,-53.15,-70.9167,284.21,71,20,12.35,CL,1675569013
37,vavuniya,8.7514,80.4971,299.11,73,58,2.44,LK,1675569113
38,hithadhoo,-0.6,73.0833,299.95,71,25,5.5,MV,1675569114
39,dikson,73.5069,80.5464,252.05,99,100,1.59,RU,1675569114
40,mar del plata,-38.0023,-57.5575,292.52,78,0,3.13,AR,1675569115
41,gusev,54.5922,22.1997,269.18,87,95,3.45,RU,1675569115
42,marsh harbour,26.5412,-77.0636,295.74,75,95,12.74,BS,1675569116
43,berlevag,70.8578,29.0864,268.12,68,98,7.72,NO,1675569116
44,zhanaozen,43.3,52.8,270.47,90,100,3.88,KZ,1675569117
45,lebu,-37.6167,-73.65,287.61,94,68,2.99,CL,1675569033
46,chuy,-33.6971,-53.4616,293.27,91,99,7.59,UY,1675569118
47,khani,41.9563,42.9566,267.91,61,93,2.94,GE,1675569118
48,provideniya,64.3833,-173.3,255.04,91,100,4.69,RU,1675569119
49,kailua,21.4022,-157.7394,297.14,82,98,1.34,US,1675569119
50,ribeira grande,38.5167,-28.7,289.69,91,16,4.47,PT,1675569120
51,port elizabeth,-33.918,25.5701,294.44,77,0,1.03,ZA,1675569036
52,hailar,49.2,119.7,253.81,94,91,1.87,CN,1675569121
53,jamestown,42.097,-79.2353,272.9,39,0,5.14,US,1675569006
54,broome,42.2506,-75.833,267.58,53,75,5.36,US,1675569121
55,luanda,-8.8368,13.2343,300.15,78,75,3.6,AO,1675569010
56,durusu,41.3053,28.6767,279.73,90,97,11.18,TR,1675569123
57,tuktoyaktuk,69.4541,-133.0374,230.15,66,0,1.03,CA,1675569124
58,ushuaia,-54.8,-68.3,283.96,76,20,5.14,AR,1675569124
59,nanortalik,60.1432,-45.2371,267.58,65,100,12.59,GL,1675569125
60,lavumisa,-27.31,31.892,294.24,88,95,1.16,SZ,1675569126
61,mataura,-46.1927,168.8643,290.46,94,99,1.57,NZ,1675569127
62,kuytun,54.3419,101.5036,259.63,93,97,0.57,RU,1675569128
63,yumen,40.2833,97.2,272.04,31,100,8.78,CN,1675569128
64,hilo,19.7297,-155.09,297.75,91,100,6.17,US,1675568963
65,beringovskiy,63.05,179.3167,246.08,86,99,6.89,RU,1675569130
66,moba,33.2288,105.0179,277.04,69,97,1.41,CN,1675569130
67,bredasdorp,-34.5322,20.0403,295.49,76,94,2.29,ZA,1675569007
68,yellowknife,62.456,-114.3525,242.44,76,20,2.06,CA,1675568751
69,padang,-0.9492,100.3543,300.18,94,100,0.64,ID,1675569133
70,kristiinankaupunki,62.2743,21.376,269.32,77,99,8.36,FI,1675569134
71,castro,-24.7911,-50.0119,289.43,94,100,2.09,BR,1675569135
72,zhangye,38.9342,100.4517,272.86,34,76,2.03,CN,1675569135
73,saskylakh,71.9167,114.0833,240.05,99,100,1.76,RU,1675569136
74,moerai,-22.4333,-151.3333,299.67,77,16,6.48,PF,1675569137
75,ponta delgada,37.7333,-25.6667,287.55,88,20,3.6,PT,1675569138
76,sinop,41.7711,34.8709,272.28,77,63,3.55,TR,1675569138
77,bandarbeyla,9.4942,50.8122,296.28,73,98,6.4,SO,1675569139
78,mitchell,43.7094,-98.0298,274.14,75,0,5.66,US,1675569003
79,thompson,55.7435,-97.8558,249.24,84,75,0.0,CA,1675569140
80,ketchikan,55.3422,-131.6461,280.41,93,100,7.2,US,1675569048
81,alofi,-19.0595,-169.9187,296.09,94,100,4.12,NU,1675569141
82,puerto ayora,-0.7393,-90.3518,298.46,97,84,2.24,EC,1675569142
83,talnakh,69.4865,88.3972,262.71,95,100,3.34,RU,1675569142
84,ayan,56.45,138.1667,256.14,71,95,0.83,RU,1675569143
85,esperance,-33.8667,121.9,300.77,44,0,4.22,AU,1675569144
86,beira,-19.8436,34.8389,298.2,100,20,1.03,MZ,1675569144
87,okhotsk,59.3833,143.3,251.0,79,66,5.04,RU,1675569145
88,airai,-8.9266,125.4092,293.51,74,97,1.84,TL,1675569146
89,hermanus,-34.4187,19.2345,293.6,95,83,2.54,ZA,1675569147
90,mindelo,16.8901,-24.9804,293.9,68,40,7.2,CV,1675569147
91,faanui,-16.4833,-151.75,300.65,73,30,7.16,PF,1675569148
92,sao gabriel da cachoeira,-0.1303,-67.0892,295.44,99,100,0.63,BR,1675569149
93,coos bay,43.3665,-124.2179,282.12,96,100,2.57,US,1675569149
94,rundu,-17.9333,19.7667,292.05,94,100,1.25,NA,1675569150
95,guerrero negro,27.9769,-114.0611,288.45,75,0,4.49,MX,1675569151
96,victoria,22.2855,114.1577,293.13,81,100,1.34,HK,1675568913
97,altay,47.8667,88.1167,267.36,95,100,0.87,CN,1675569151
98,hamilton,39.1834,-84.5333,279.57,52,0,6.69,US,1675569152
99,barrow,71.2906,-156.7887,244.16,76,100,2.57,US,1675569152
100,severo-kurilsk,50.6789,156.125,271.49,66,96,3.11,RU,1675569153
101,pinheiro,-2.5214,-45.0825,295.74,99,99,0.57,BR,1675569154
102,kahului,20.8947,-156.47,297.51,83,93,5.81,US,1675569154
103,vao,-22.6667,167.4833,299.76,88,100,8.73,NC,1675569155
104,bay roberts,47.5999,-53.2648,265.66,85,100,7.15,CA,1675569156
105,nyurba,63.2842,118.3319,235.14,98,100,1.21,RU,1675569156
106,necochea,-38.5473,-58.7368,287.07,88,0,4.24,AR,1675569005
107,damietta,31.4165,31.8133,285.09,77,19,6.88,EG,1675569157
108,antofagasta,-23.65,-70.4,295.75,77,24,1.07,CL,1675569157
109,lufilufi,-13.8745,-171.5986,300.03,76,97,0.89,WS,1675569158
110,tongliao,43.6125,122.2653,270.52,36,17,3.81,CN,1675569158
111,tiksi,71.6872,128.8694,241.42,100,100,1.4,RU,1675569037
112,roma,43.2128,-75.4557,268.05,56,100,4.63,US,1675569159
113,arlit,18.7369,7.3853,293.02,11,57,3.89,NE,1675569159
114,tiarei,-17.5333,-149.3333,302.16,79,87,6.5,PF,1675569160
115,husavik,66.0449,-17.3389,273.44,76,95,8.41,IS,1675569160
116,saint anthony,45.0205,-93.218,270.09,85,0,2.06,US,1675569161
117,saint george,37.1041,-113.5841,282.56,52,0,1.54,US,1675569020
118,bambous virieux,-20.3428,57.7575,299.94,83,40,2.06,MU,1675569162
119,souillac,-20.5167,57.5167,299.36,83,40,2.06,MU,1675569162
120,longyearbyen,78.2186,15.6401,265.06,53,0,14.4,SJ,1675569163
121,bulancak,40.9372,38.2291,275.05,80,75,1.03,TR,1675569163
122,manali,13.1667,80.2667,299.2,59,9,3.68,IN,1675569163
123,japura,-0.3167,102.35,301.5,75,99,1.57,ID,1675569164
124,saquarema,-22.92,-42.5103,298.39,87,12,2.63,BR,1675569165
125,saint marys,30.7305,-81.5465,289.16,88,31,3.13,US,1675569165
126,upernavik,72.7868,-56.1549,248.19,100,99,1.97,GL,1675569155
127,karratha,-20.7377,116.8463,309.28,34,8,4.23,AU,1675569166
128,roald,62.5833,6.1333,279.44,65,40,6.17,NO,1675569167
129,ponta do sol,32.6667,-17.1,289.66,57,39,3.6,PT,1675569167
130,snezhnogorsk,69.1933,33.2531,259.03,100,92,2.3,RU,1675569168
131,port lincoln,-34.7333,135.8667,294.17,59,20,4.36,AU,1675569168
132,vila velha,-20.3297,-40.2925,299.23,87,0,4.12,BR,1675568961
133,presidente olegario,-18.4178,-46.4181,292.21,89,70,0.7,BR,1675569169
134,coquimbo,-29.9533,-71.3436,292.0,72,0,1.54,CL,1675568932
135,kapaa,22.0752,-159.319,297.33,83,75,8.23,US,1675569017
136,nikolskoye,59.7035,30.7861,267.09,98,91,1.84,RU,1675569032
137,kaputa,-8.4689,29.6619,292.87,88,99,1.43,ZM,1675569170
138,kodiak,57.79,-152.4072,273.88,86,100,1.54,US,1675569037
139,chernyshevskiy,63.0128,112.4714,238.47,96,86,0.8,RU,1675569171
140,svetlyy,54.675,20.1347,271.46,84,41,2.02,RU,1675569172
141,mahebourg,-20.4081,57.7,299.96,83,40,2.06,MU,1675569172
142,yuanping,38.7153,112.7575,276.53,22,3,0.78,CN,1675569173
143,meulaboh,4.1363,96.1285,301.29,66,100,1.62,ID,1675569173
144,bengkulu,-3.8004,102.2655,301.44,68,89,3.91,ID,1675569173
145,gravdal,68.1214,13.5031,278.16,83,100,13.66,NO,1675569174
146,kungurtug,50.5994,97.5228,261.81,90,100,0.38,RU,1675569174
147,ancud,-41.8697,-73.8203,287.23,94,72,0.58,CL,1675569175
148,arraial do cabo,-22.9661,-42.0278,297.56,93,14,2.01,BR,1675569175
149,pointe michel,15.25,-61.3833,298.57,72,7,6.4,DM,1675569176
150,vanavara,60.34,102.2797,254.41,99,98,1.0,RU,1675569177
151,georgetown,5.4112,100.3354,303.12,66,20,2.57,MY,1675569024
152,kamenka,51.3223,42.7678,265.22,96,98,2.69,RU,1675569178
153,watrous,51.6668,-105.4679,267.03,93,92,2.06,CA,1675569178
154,orleans,30.0335,-89.9501,285.14,83,0,3.09,US,1675568946
155,shenxian,36.2411,115.6672,283.37,36,3,7.15,CN,1675569179
156,sawakin,19.1059,37.3321,293.81,72,31,3.25,SD,1675569179
157,egvekinot,66.3167,-179.1667,240.18,88,30,6.19,RU,1675569180
158,fort walton beach,30.4058,-86.6188,287.05,68,0,2.24,US,1675569180
159,qaanaaq,77.484,-69.3632,250.43,66,8,1.14,GL,1675569181
160,makakilo city,21.3469,-158.0858,296.33,72,20,3.6,US,1675569181
161,vaini,-21.2,-175.2,302.24,79,75,5.14,TO,1675569182
162,leningradskiy,69.3833,178.4167,242.28,99,100,1.72,RU,1675569183
163,seoul,37.5683,126.9778,277.91,58,20,2.57,KR,1675569183
164,pita,10.8333,-12.5833,295.06,31,4,1.21,GN,1675569184
165,codogno,45.1619,9.7022,278.82,73,54,4.39,IT,1675569185
166,allingabro,56.465,10.3341,274.3,86,100,7.15,DK,1675569186
167,kasongo,-4.45,26.6667,292.35,99,100,1.64,CD,1675569187
168,olot,42.181,2.4901,282.74,34,0,2.17,ES,1675569188
169,sobolevo,54.4299,31.8996,265.73,95,99,4.57,RU,1675569190
170,oyama,36.3,139.8,281.85,29,16,1.71,JP,1675569192
171,narsaq,60.9167,-46.05,268.27,93,99,3.0,GL,1675569193
172,sembe,1.6481,14.5806,294.0,64,79,1.31,CG,1675569194
173,acarau,-2.8856,-40.12,298.62,87,21,5.4,BR,1675568967
174,henties bay,-22.116,14.2845,290.75,87,99,1.84,NA,1675569195
175,sfantu gheorghe,45.8667,25.7833,267.55,92,100,0.75,RO,1675569196
176,the valley,18.217,-63.0578,298.2,79,6,9.08,AI,1675568918
177,araouane,18.9048,-3.5265,286.66,24,65,5.12,ML,1675569197
178,matay,28.419,30.7792,282.06,60,47,1.15,EG,1675569198
179,ostrovnoy,68.0531,39.5131,258.01,95,95,4.51,RU,1675569198
180,hambantota,6.1241,81.1185,301.34,89,40,4.63,LK,1675569199
181,comodoro rivadavia,-45.8667,-67.5,303.07,21,0,7.72,AR,1675569199
182,iqaluit,63.7506,-68.5145,239.0,62,75,8.75,CA,1675569200
183,uchiza,-8.4592,-76.4633,294.29,96,100,1.13,PE,1675569201
184,lodwar,3.1191,35.5973,298.57,46,86,2.5,KE,1675569202
185,milici,44.1711,19.0903,270.8,94,91,2.86,BA,1675569202
186,east london,-33.0153,27.9116,296.67,88,0,4.12,ZA,1675569203
187,richards bay,-28.783,32.0377,294.86,90,4,1.62,ZA,1675569204
188,pisco,-13.7,-76.2167,295.18,94,100,5.14,PE,1675569204
189,la palma,33.8464,-118.0467,289.99,69,0,0.45,US,1675569205
190,hervey bay,-25.2986,152.8535,301.52,74,62,7.69,AU,1675569206
191,hobyo,5.3505,48.5268,297.61,70,49,6.69,SO,1675569206
192,pangnirtung,66.1451,-65.7125,238.51,99,100,0.68,CA,1675569207
193,fairbanks,64.8378,-147.7164,256.13,87,0,0.0,US,1675569207
194,gat,31.61,34.7642,285.04,100,33,4.86,IL,1675569180
195,nelson bay,-32.7167,152.15,299.26,52,0,2.68,AU,1675569208
196,ukiah,39.1502,-123.2078,284.62,93,100,4.92,US,1675569209
197,saint-joseph,-21.3667,55.6167,300.36,80,92,3.76,RE,1675569209
198,homer,59.6425,-151.5483,272.08,80,100,3.09,US,1675568958
199,george town,5.4112,100.3354,303.12,66,20,2.57,MY,1675569041
200,port macquarie,-31.4333,152.9167,301.42,43,0,4.25,AU,1675569210
201,isangel,-19.55,169.2667,302.36,78,100,6.05,VU,1675569211
202,huilong,31.8111,121.655,283.11,69,57,4.66,CN,1675569211
203,tarauaca,-8.1614,-70.7656,295.3,98,99,1.0,BR,1675569041
204,palanga,55.9175,21.0686,266.16,93,0,0.51,LT,1675569212
205,kavieng,-2.5744,150.7967,301.19,73,100,1.53,PG,1675569043
206,klaksvik,62.2266,-6.589,279.66,76,98,10.31,FO,1675569213
207,krasnoselkup,65.7,82.4667,261.58,95,100,3.98,RU,1675569213
208,clyde river,70.4692,-68.5914,246.28,63,75,11.83,CA,1675569214
209,lagoa,39.05,-27.9833,288.27,88,44,10.17,PT,1675569214
210,alice springs,-23.7,133.8833,300.9,21,0,4.63,AU,1675569215
211,katsuura,35.1333,140.3,283.23,54,48,4.81,JP,1675569215
212,luderitz,-26.6481,15.1594,290.94,84,74,6.43,NA,1675569216
213,ngunguru,-35.6167,174.5,294.46,77,100,4.98,NZ,1675569217
214,torbay,47.6666,-52.7314,265.24,90,100,14.92,CA,1675569217
215,tocopilla,-22.092,-70.1979,295.9,79,25,0.38,CL,1675569217
216,salalah,17.0151,54.0924,293.2,77,20,1.54,OM,1675569218
217,ilulissat,69.2167,-51.1,254.16,55,75,3.09,GL,1675569219
218,mount gambier,-37.8333,140.7667,292.72,51,95,3.3,AU,1675569219
219,qitaihe,45.8,130.85,265.13,88,100,2.35,CN,1675569219
220,namie,37.4833,141.0,281.47,42,4,1.87,JP,1675569139
221,salinas,36.6777,-121.6555,288.61,75,20,7.72,US,1675569100
222,grakhovo,56.0502,51.9676,259.14,95,100,1.03,RU,1675569221
223,shimoda,34.6667,138.95,284.35,53,43,4.3,JP,1675569221
224,tuatapere,-46.1333,167.6833,292.91,81,87,2.94,NZ,1675569222
225,poya,-21.35,165.15,304.79,67,89,4.44,NC,1675569222
226,bantou,26.2151,117.4893,287.86,89,100,0.89,CN,1675569223
227,petatlan,17.5167,-101.2667,295.54,69,0,1.73,MX,1675569223
228,hvide sande,56.0045,8.1294,273.76,96,100,10.72,DK,1675569224
229,sangar,63.9242,127.4739,243.72,95,100,1.32,RU,1675569224
230,santiago del estero,-27.7951,-64.2615,297.31,47,100,0.66,AR,1675569225
231,kavaratti,10.5669,72.642,300.55,68,8,2.08,IN,1675569225
232,suntar,62.1444,117.6319,236.43,95,97,1.84,RU,1675569226
233,barahona,18.2085,-71.1008,296.31,81,0,0.92,DO,1675569226
234,saint-philippe,-21.3585,55.7679,300.92,82,96,4.12,RE,1675569227
235,kibaya,-5.3,36.5667,287.51,95,95,0.66,TZ,1675569227
236,bonavista,48.6499,-53.1147,265.03,71,95,16.47,CA,1675569228
237,constitucion,-35.3333,-72.4167,287.6,96,20,0.81,CL,1675569228
238,dondo,-19.6094,34.7431,297.88,95,35,1.57,MZ,1675569229
239,punta de piedra,7.6176,-71.4916,297.89,53,78,0.77,VE,1675569229
240,kruisfontein,-34.0033,24.7314,292.53,82,0,2.51,ZA,1675569230
241,ermelo,-26.5333,29.9833,285.57,100,40,1.54,ZA,1675569230
242,caravelas,-17.7125,-39.2481,298.71,86,32,4.44,BR,1675569202
243,mobaye,4.319,21.1786,293.3,33,62,0.89,CF,1675569231
244,maunabo,18.0072,-65.8993,298.54,90,28,5.72,PR,1675569231
245,waingapu,-9.6567,120.2641,298.99,84,100,4.21,ID,1675569232
246,sawankhalok,17.316,99.8319,300.09,83,20,1.54,TH,1675569232
247,tautira,-17.7333,-149.15,299.68,80,93,5.83,PF,1675569233
248,olafsvik,64.8945,-23.7142,277.91,96,100,15.85,IS,1675569233
249,batagay,67.6333,134.6333,236.19,95,100,0.45,RU,1675569234
250,fare,-16.7,-151.0167,300.38,77,23,7.01,PF,1675569234
251,ujiie,36.6833,139.9667,280.53,34,1,2.71,JP,1675569235
252,sao francisco,-15.9486,-44.8644,297.08,73,59,0.99,BR,1675569235
253,petropavlovsk-kamchatskiy,53.0452,158.6483,265.48,58,75,1.0,RU,1675569236
254,brownwood,31.7093,-98.9912,282.77,83,0,3.6,US,1675568955
255,novyy urengoy,66.0833,76.6333,257.57,99,89,3.14,RU,1675569237
256,aswan,24.0934,32.907,282.76,37,0,3.09,EG,1675569237
257,aras,42.5617,-2.356,278.57,81,20,5.14,ES,1675569238
258,domoni,-12.2569,44.5319,299.92,81,100,0.92,KM,1675569238
259,tenenkou,14.4572,-4.9169,292.29,17,64,5.33,ML,1675569239
260,emba,48.8264,58.1442,255.16,95,12,3.47,KZ,1675569239
261,whitehorse,60.7161,-135.0538,262.05,83,100,1.03,CA,1675569059
262,skibbereen,51.55,-9.2667,280.43,85,43,4.09,IE,1675569240
263,gympie,-26.1898,152.665,303.59,57,95,4.56,AU,1675569241
264,basoko,1.2391,23.616,293.25,55,30,0.89,CD,1675569242
265,caledon east,43.8691,-79.8669,271.88,79,100,5.98,CA,1675569242
266,dingle,10.9995,122.6711,301.57,71,42,5.76,PH,1675569243
267,abadiania,-16.2042,-48.7069,292.66,94,100,0.83,BR,1675569244
268,mbuguni,-3.5667,36.95,293.94,78,99,0.86,TZ,1675569244
269,san quintin,30.4833,-115.95,287.24,81,4,4.39,MX,1675569245
270,muli,2.9167,73.5667,299.77,71,90,1.21,MV,1675569245
271,chapais,49.7834,-74.8492,254.03,94,100,4.85,CA,1675569246
272,santa rosa,14.3122,121.1114,302.1,70,86,6.22,PH,1675569247
273,tahoua,14.8888,5.2692,295.57,16,2,4.17,NE,1675569247
274,srednekolymsk,67.45,153.6833,237.97,99,100,2.6,RU,1675569248
275,portland,45.5234,-122.6762,282.62,87,100,5.14,US,1675569112
276,fortuna,40.5982,-124.1573,284.63,90,100,9.26,US,1675569249
